DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20250728,825,69,916,15,667,19.630198072157896,76.23510046681781,571.1347014610243
20250728,638,69,123,3,123,3.6543447501598716,8.8426815645482,110.50297368529192
20250728,65,69,678,15,907,40.46454288000962,76.87006240834711,789.6653947116433
20250728,784,69,430,4,762,88.28789899687632,95.55376982581438,578.1583311773093
20250728,294,69,702,5,821,59.52192184205517,47.81388835328428,713.6641898046605
20250728,211,69,867,2,595,27.449538405263308,43.51981571564937,524.0306458790873
20250728,327,69,28,10,838,27.655302761001444,42.39016434507544,767.9545328939231
20250728,632,69,781,20,770,68.50772529718624,78.44903016990801,623.0432445329058
20250728,776,69,37,15,422,10.259953119439533,51.07336144502364,360.6666854355368
20250728,895,69,198,16,655,86.12434229411129,70.39840525974054,498.47725244614816
20250728,788,69,649,15,230,19.377303681903687,27.0314276368353,183.591268681261
20250728,467,69,52,12,140,18.04137558833329,17.6489604009315,104.30966401073522
20250728,904,69,72,13,864,93.59291989124108,118.1872194394341,652.2198606693248
20250728,4,69,100,17,698,43.2003750516493,101.846808814504,552.9528161338467
20250728,470,69,243,10,505,58.194562382598384,36.270628327500006,410.5348092899016
20250728,1,69,774,17,985,34.85160857263309,93.61757846475312,856.5308129626138
20250728,201,69,575,17,623,37.36160189133908,62.828648159440576,522.8097499492203
20250728,700,69,953,20,345,22.240622701676685,33.94702885148232,288.812348446841
20250728,372,69,448,12,242,7.1294420225372725,28.984827346040852,205.8857306314219
20250728,254,69,624,5,546,70.7080592995297,41.19567515442371,434.0962655460466
20250728,475,69,744,20,511,18.495303728303817,46.747197610166275,445.7574986615299
20250728,193,69,759,4,472,63.185050103597455,38.66166344349381,370.15328645290873
20250728,650,69,781,4,533,22.419058198137943,51.34021206971097,459.24072973215107
20250728,440,69,213,4,415,32.37489996900806,41.2950285477256,341.33007148326635
20250728,271,69,256,18,791,20.15446667646645,102.2317649888975,668.613768334636
20250728,969,69,77,15,455,37.845797092618135,29.060601794244192,388.09360111313765
20250728,497,69,157,10,769,20.818312745889664,68.09766845506216,680.0840187990482
